"filename", "language", "Markdown", "CMake", "YAML", "HTML", "C++", "JSON", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 0, 8, 535
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 2, 31, 184
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create\create_service_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 27, 9, 575
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 21, 109
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 35, 4, 213
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 3, 29, 201
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 0, 8, 565
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 2, 20, 118
